Key,Id,English(en),Portuguese(pt),Russian(ru),Spanish(es)
I'm On The NET/Title,3897961066496,I'm On The NET,Estou na REDE,Я в СЕТИ,Estoy En La RED
I'm On The NET/Description,3897977843712,"Sign in with Google Play (In PC, it self-unlocks)","Inicie uma sessão na Google Play (No PC, ele se desbloqueia automaticamente)",Зарегистрируйтесь в гугл плей (На компьютерах оазблокируется сам),Inicia sesion en Google Play (En PC se autodesbloquea)
AUCH!/Title,3897977843713,AUCH!,AUCH!,АУЧ!,¡AUCH!
AUCH!/Description,3897977843714,Die for the first time,Morra pela primeira vez,Погибните в первый раз,Muere por primera vez
This Sounds Familiar.../Title,3897977843715,This Sounds Familiar...,Esse Som Me Parece Familiar,Этот звук знакомый...,Esto Me Suena…
This Sounds Familiar.../Description,3897977843716,Touch one of the posters in the office,Toque em um dos pôsteres no escritório,Троньте один из постеров в офисе,Toca uno de los carteles de la oficina
This Begins/Title,3897977843717,This Begins,Só o começo,Это началось,Esto Empieza
This Begins/Description,3897977843718,Beat level 1,Finalize o level 1,Пройдите первый уровень,Supera el nivel 1
Claustrophobia/Title,3897977843719,Claustrophobia,Claustrofobia,Клаустрофобия,Claustrofobia
Claustrophobia/Description,3897977843720,Beat level 2,Finalize o level 2,Пройдите второй уровень,Supera el nivel 2
I Don't Want Pizza!/Title,3897977843721,I Don't Want Pizza!,Eu Não Quero Pizza!,Я не хочу пиццу!,¡No Quiero Pizza!
I Don't Want Pizza!/Description,3897977843722,Beat level 3,Finalize o level 3,Пройдите третий уровень,Supera el nivel 3
No More Fans/Title,3897977843723,No More Fans,Sem Mais Ventiladores,Никаких вентиляторов,No Más Ventiladores
No More Fans/Description,3897977843724,Turn off the office fan,Desligue o ventilador do escritório,Выключите вентилятор в офисе,Apaga el ventilador de la oficina
You've gone too far.../Title,3897977843725,You've gone too far...,Você foi longe demais...,Ты зашел слишком далеко...,Te has pasado...
You've gone too far.../Description,3897977843726,Make Foxy find you by hiding in the wrong locker,Faça Foxy encontrar você se escondendo no armário errado,"Сделайте так, чтобы фокси нашел вас прячюшимся в неправильном шкафу",Haz que Foxy te encuentre escondiéndote en la taquilla incorrecta
"Please, Foxy, Don't Be Angry/Title",3897977843727,"Please, Foxy, Don't Be Angry","Por favor, Foxy, Não Fique Com Raiva","Пожалуйста,фокси,не злись ","Porfa, Foxy No Te Enfades"
"Please, Foxy, Don't Be Angry/Description",3897977843728,"Annoy Foxy, he doesn't like posters","Irrite Foxy, ele não gosta de pôsteres",Фокси не любит постеры,"Consigue enfadar a Foxy, no le gustan los posters"
See You Next Time!/Title,3897977843729,See You Next Time!,Vejo Você Na Próxima Vez!,Увидимся в следующий раз!,¡Hasta La Próxima!
See You Next Time!/Description,3897977843730,Complete the BETA,Complete a BETA,Завершите БЕТА,Completa la BETA
Fix It!/Title,3897977843731,Fix It!,Conserte isso!,Почини это!,¡Arréglalo!
Fix It!/Description,3897977843732,Beat level 4,Finalize o level 4,Пройдите четвертый уровень,Supera el nivel 4
NOP/Title,3897977843733,NOP,NOP,НЕТЬ,NOP
NOP/Description,3897977843734,Prevent Chica from opening the door to the generator room at the last moment,Evite que Chica abra a porta da sala do gerador no último momento,Предотвратите попадание чики в комнату генератора в последний момент,Evita que Chica abra la puerta de la sala del generado en el último momento
Golden Voice/Title,3897977843735,Golden Voice,Voz de Ouro,Золотой голос,Voz de Oro
Golden Voice/Description,3897977843736,Free Freddy's soul by 'touching' his past and recovering his favorite microphone,Liberte a alma de Freddy ‘tocando’ seu passado e recuperando seu microfone favorito,Освободите душу фредди'прикоснувшись'к его прошлому и вернуть его любимца,Libera el alma de Freddy 'tocando' su pasado y recuperando su micrófono favorito
Special Cake/Title,3897977843737,Special Cake,Bolo Especial,Специальный торт,Pastel Especial
Special Cake/Description,3897977843738,Free Mangle's soul by retrieving its cake as quickly as possible,Liberte a alma de Mangle recuperando seu bolo o mais rápido possível,Освободите душу мангл вернув торт как можно быстрее,Libera el alma de Mangle recuperando su pastel lo más rápido posible
Cupcake Recipe/Title,3897977843739,Cupcake Recipe,Receita de Cupcake,Рецепт торта,Receta de Cupcake
Cupcake Recipe/Description,3897977843740,Free Chica's soul by retrieving her cupcakes,Liberte a alma de Chica recuperando seus cupcakes,Освободите душу чики вернув ей её кексики,Libera el alma de Chica recuperando sus Cupcakes
7C3 (HEX)/Title,3897977843741,7C3 (HEX),7C3 (HEX),7C3 (HEX),7C3 (HEX)
7C3 (HEX)/Description,3897977843742,Unlock the secret scene,Desbloqueie a cena secreta,Откройте секретную сцену,Desbloquea la escena secreta
